Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
3,12,6,6,3,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319,Minnesota,Minnesota Blizzard,Atlantic,Nikola Mitkov,2444
3,12,7,6,0,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648,Montreal,Montreal Chessbrahs,Atlantic,Eric Hansen,2629
3,12,7,6,1,San Diego,San Diego Surfers,Pacific,Michael Brown,2499,Montreal,Montreal Chessbrahs,Atlantic,Aman Hambleton,2479
3,12,7,6,2,San Diego,San Diego Surfers,Pacific,John Daniel Bryant,2428,Montreal,Montreal Chessbrahs,Atlantic,Raja Panjwani,2421
3,12,7,6,3,San Diego,San Diego Surfers,Pacific,Joshua Sheng,2373,Montreal,Montreal Chessbrahs,Atlantic,Shiyam Thavandiran,2385
4,15,0,9,0,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665
4,15,0,9,1,Seattle,Seattle Sluggers,Pacific,Tigran Petrosian,2615,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619
4,15,0,9,2,Seattle,Seattle Sluggers,Pacific,Georgi Orlov,2481,Miami,Miami Champions,Atlantic,Michael Rohde,2387
4,15,0,9,3,Seattle,Seattle Sluggers,Pacific,Kyle Haining,2169,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164
4,15,1,9,0,San Jose,San Jose Hackers,Pacific,Shakhriyar Mamedyarov,2797,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799
4,15,1,9,1,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678,St. Louis,St. Louis Arch Bishops,Atlantic,Vladimir Fedoseev,2731
4,15,1,9,2,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601,St. Louis,St. Louis Arch Bishops,Atlantic,Alejandro Ramirez,2563
4,15,1,9,3,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918,St. Louis,St. Louis Arch Bishops,Atlantic,Annie Wang,2090
4,15,2,9,0,Chengdu,Chengdu Pandas,Pacific,Yu Yangyi,2750,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545
4,15,2,9,1,Chengdu,Chengdu Pandas,Pacific,Ni Hua,2674,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485
4,15,2,9,2,Chengdu,Chengdu Pandas,Pacific,Xu Xiangyu,2549,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Atulya Shetty,2403
4,15,2,9,3,Chengdu,Chengdu Pandas,Pacific,Chu Ruotong,2173,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Safal Bora,2363
4,15,3,9,0,Dallas,Dallas Destiny,Pacific,Jeffery Xiong,2633,Buenos Aires,Buenos Aires Krakens,Atlantic,Alan Pichot,2565
4,15,3,9,1,Dallas,Dallas Destiny,Pacific,Conrad Holt,2565,Buenos Aires,Buenos Aires Krakens,Atlantic,Mario Villanueva,2445
4,15,3,9,2,Dallas,Dallas Destiny,Pacific,Luke Harmon-Vellotti,2468,Buenos Aires,Buenos Aires Krakens,Atlantic,German Della Morte,2362
4,15,3,9,3,Dallas,Dallas Destiny,Pacific,Steven Breckenridge,2292,Buenos Aires,Buenos Aires Krakens,Atlantic,Jacques Blit,2344
4,15,4,9,0,Montclair,Montclair Sopranos,Atlantic,Aleksandr Lenderman,2565,Rio Grande,Rio Grande Ospreys,Pacific,Hovhannes Gabuzyan,2573
4,15,4,9,1,Montclair,Montclair Sopranos,Atlantic,Anatoly Bykhovsky,2496,Rio Grande,Rio Grande Ospreys,Pacific,Vladimir Belous,2566
4,15,4,9,2,Montclair,Montclair Sopranos,Atlantic,Mackenzie Molner,2465,Rio Grande,Rio Grande Ospreys,Pacific,Guillermo Vazquez,2441
4,15,4,9,3,Montclair,Montclair Sopranos,Atlantic,Nicolas Checa,2459,Rio Grande,Rio Grande Ospreys,Pacific,Felix Ynojosa,2418
4,15,5,9,0,Webster,Webster Windmills,Atlantic,Aleksandr Shimanov,2646,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606
4,15,5,9,1,Webster,Webster Windmills,Atlantic,Denes Boros,2475,Australia,Australia Kangaroos,Pacific,Alexey Sarana,2541
4,15,5,9,2,Webster,Webster Windmills,Atlantic,Ashwin Jayaram,2474,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508
4,15,5,9,3,Webster,Webster Windmills,Atlantic,Aaron Grabinsky,2358,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319
4,15,6,9,0,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648
4,15,6,9,1,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471,San Diego,San Diego Surfers,Pacific,Michael Brown,2499
4,15,6,9,2,Minnesota,Minnesota Blizzard,Atlantic,John Bartholomew,2449,San Diego,San Diego Surfers,Pacific,John Daniel Bryant,2428
4,15,6,9,3,Minnesota,Minnesota Blizzard,Atlantic,Nikola Mitkov,2444,San Diego,San Diego Surfers,Pacific,Joshua Sheng,2373
4,15,7,9,0,Montreal,Montreal Chessbrahs,Atlantic,Eric Hansen,2629,Las Vegas,Las Vegas Desert Rats,Pacific,Leinier Dominguez,2739
4,15,7,9,1,Montreal,Montreal Chessbrahs,Atlantic,Aman Hambleton,2479,Las Vegas,Las Vegas Desert Rats,Pacific,Joshua Friedel,2547
4,15,7,9,2,Montreal,Montreal Chessbrahs,Atlantic,Raja Panjwani,2421,Las Vegas,Las Vegas Desert Rats,Pacific,Melikset Khachiyan,2526
4,15,7,9,3,Montreal,Montreal Chessbrahs,Atlantic,Shiyam Thavandiran,2385,Las Vegas,Las Vegas Desert Rats,Pacific,Eugene Yanayt,2139
5,18,0,12,0,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606
5,18,0,12,1,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619,Australia,Australia Kangaroos,Pacific,Alexey Sarana,2541
5,18,0,12,2,Miami,Miami Champions,Atlantic,Michael Rohde,2387,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508
5,18,0,12,3,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319
5,18,1,12,0,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648
5,18,1,12,1,St. Louis,St. Louis Arch Bishops,Atlantic,Vladimir Fedoseev,2731,San Diego,San Diego Surfers,Pacific,Michael Brown,2499
5,18,1,12,2,St. Louis,St. Louis Arch Bishops,Atlantic,Alejandro Ramirez,2563,San Diego,San Diego Surfers,Pacific,John Daniel Bryant,2428
5,18,1,12,3,St. Louis,St. Louis Arch Bishops,Atlantic,Annie Wang,2090,San Diego,San Diego Surfers,Pacific,Joshua Sheng,2373
5,18,2,12,0,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545,Las Vegas,Las Vegas Desert Rats,Pacific,Leinier Dominguez,2739
5,18,2,12,1,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485,Las Vegas,Las Vegas Desert Rats,Pacific,Joshua Friedel,2547
